backend,group,source_group,points,relative_energy_mae_eV,relative_energy_max_error_eV,reference_span_eV,predicted_span_eV,reference_short_range_rise_eV,predicted_short_range_rise_eV,slope_comparisons,slope_sign_mismatches
deepmd,CF_20eV_2_32_O_F,CF_20eV_2_32,5,117.71739645700048,529.0933628055831,562.89942233,64.19111954420805,562.89942233,33.80605952441692,4,1
deepmd,CF_20eV_2_52_F_F,CF_20eV_2_52,5,167.46847077469164,715.1049827250977,750.9728645,53.99280056357384,750.9728645,35.867881774902344,4,1
deepmd,CF_20eV_2_52_Si_F,CF_20eV_2_52,5,81.83760235205338,241.81392085740669,301.77732406,59.96340320259333,301.77732406,59.96340320259333,4,2
deepmd,CF_20eV_2_54_F_C,CF_20eV_2_54,4,80.08162762181473,297.43035899471863,341.06475031,43.63439131528139,341.06475031,43.63439131528139,3,0
deepmd,CF_20eV_2_54_O_C,CF_20eV_2_54,5,59.436697400509885,249.13038596954073,288.72307867999996,43.169946260750294,288.72307867999996,39.59269271045923,4,2
deepmd,CF_20eV_2_76_C_F,CF_20eV_2_76,5,231.21033895751444,800.6578872547091,826.99623653,48.72100353986025,826.99623653,26.338349275290966,4,2
deepmd,CF_20eV_2_79_C_C,CF_20eV_2_79,5,295.60084558255795,1026.4673100082239,1111.72390182,85.25659181177616,1111.72390182,85.25659181177616,4,0
deepmd,CF_20eV_2_79_Si_C,CF_20eV_2_79,4,27.957357243077325,105.39963781993379,170.28226638,64.88262856006622,170.28226638,64.88262856006622,3,0
deepmd,CF_30eV_18_12_F_F,CF_30eV_18_12,6,418.0971579542491,1653.4633479003987,1718.30338544,64.84003753960133,1718.30338544,64.84003753960133,5,1
deepmd,CF_30eV_18_13_Si_C,CF_30eV_18_13,3,31.25120065770915,92.62137961334389,149.23369271999996,56.612313106656075,149.23369271999996,56.612313106656075,2,0
deepmd,CF_30eV_18_13_Si_F,CF_30eV_18_13,4,54.31032717931603,208.95346546984013,257.32341981,48.36995434015989,257.32341981,48.36995434015989,3,0
deepmd,CF_30eV_18_3_C_C,CF_30eV_18_3,5,263.0522851933136,868.1852166376336,1103.9963059,235.8110892623663,1103.9963059,235.8110892623663,4,1
deepmd,CF_30eV_18_3_C_F,CF_30eV_18_3,5,221.83096958032766,794.7323317206357,809.56516776,46.3005511239171,809.56516776,14.832836039364338,4,1
deepmd,CF_30eV_18_3_F_C,CF_30eV_18_3,5,220.275811406733,777.9693207789472,808.52853438,47.29212836921215,808.52853438,30.55921360105276,4,2
deepmd,CF_30eV_18_3_O_C,CF_30eV_18_3,6,412.53383483267163,1638.1674558108964,1809.2308348899999,171.06337907910347,1809.2308348899999,171.06337907910347,5,1
deepmd,CF_30eV_18_3_O_F,CF_30eV_18_3,6,311.9433060016394,1275.9602626807196,1311.85339685,62.89228292554617,1311.85339685,35.89313416928053,5,1
