backend,id,track,selection,group,atoms,component_mae,component_rmse,component_p95,component_p99,component_max,vector_p95,vector_max,cf_sio_contact_A
deepmd,dft/qsd/qsd_data.extxyz:13,qsd,coverage,CF3_10eV_19_10_O_F,101,0.08374396846703838,0.12651787181754526,0.2384458792497556,0.4068497595411434,0.9395392733682097,0.4142590657872887,1.0740594298435922,1.5801362450750878
deepmd,dft/qsd/qsd_data.extxyz:14,qsd,coverage,CF3_10eV_19_10_O_F,101,0.26733722678157373,1.2702519267863785,0.45849309459680676,6.728411671397766,14.91188154655731,0.8390254443735619,17.530549308547027,0.8609931820868285
deepmd,dft/qsd/qsd_data.extxyz:15,qsd,coverage,CF3_10eV_19_10_O_F,101,6.193748481226156,51.75081644980798,1.365404187072643,317.3617700055228,555.7743764425445,2.1149002772919423,643.127574728223,0.6149951300620208
deepmd,dft/qsd/qsd_data.extxyz:16,qsd,coverage,CF3_10eV_19_10_O_F,101,35.73969066598868,315.11099959219933,1.201209873169359,1908.1646837481533,3356.1835451209886,1.3464190617087093,3879.8255088225055,0.3689970780372108
deepmd,dft/qsd/qsd_data.extxyz:229,qsd,coverage,CF3_10eV_19_59_C_C,107,0.10949230978756501,0.24668741227972346,0.32318471818757055,1.1412946228382863,2.56449190195762,0.43095668942844195,2.9091267034862747,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:230,qsd,coverage,CF3_10eV_19_59_C_C,107,0.1540635875842888,0.41743718641590516,0.5000272798564807,1.8374403136853803,5.12969237442896,0.7141908459431179,5.637809137347225,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:231,qsd,coverage,CF3_10eV_19_59_C_C,107,0.30341990287898635,1.7334400004024777,0.456436012180198,4.519966500493964,21.766913714135853,0.8514258413077354,22.366108033065643,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:232,qsd,coverage,CF3_10eV_19_59_C_C,107,1.3163307816061727,9.191080136243377,0.8028119047538512,47.55851319255495,106.0217286572178,2.187316080189575,123.19252436570589,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:233,qsd,coverage,CF3_10eV_19_59_C_C,107,14.366341486411452,122.65279009136214,7.759089006038391,634.3207075285196,1355.6618871802787,12.61336889164919,1575.3609929003715,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:234,qsd,coverage,CF3_10eV_19_59_C_C,107,16.48533328782328,132.91575361923293,17.691978815623997,468.92088191320204,1627.8811798559627,29.729016092796524,1725.141508546884,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:235,qsd,coverage,CF3_10eV_19_59_C_C,107,247.4176454110805,2149.6723814195866,138.32763659539796,8906.67440451973,24895.503349355422,380.8648883958206,27368.376261629288,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:236,qsd,coverage,CF3_10eV_19_59_C_F,107,0.1623340945866917,0.5014336581891078,0.3924268809730336,2.5726661737232406,4.2449443709865236,0.5531375283993769,6.231889885677379,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:237,qsd,coverage,CF3_10eV_19_59_C_F,107,0.44834850749458033,3.2978634338998307,0.4482875280577056,8.783684038811298,42.070263586783426,0.630695626541967,43.33702499702847,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:238,qsd,coverage,CF3_10eV_19_59_C_F,107,1.0009024182983657,8.06403093776578,0.49359821638364343,17.243145195642683,103.3207845540897,0.5660313602117971,105.01004334902775,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:239,qsd,coverage,CF3_10eV_19_59_C_F,107,4.059750280081752,31.159924424091635,1.0053706934382696,158.6756368075457,351.0889330544678,2.3439524413763952,409.14432300111775,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:240,qsd,coverage,CF3_10eV_19_59_C_F,107,20.94555828005965,185.45815893000506,2.0586568006499877,950.7465312717095,2045.7905342940503,6.738973838428788,2378.7898212936516,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:241,qsd,coverage,CF3_10eV_19_59_C_F,107,65.45851629616018,573.6144938025678,30.03845367392558,2837.623131053544,6400.941744467836,49.43104900599048,7350.823625531041,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:242,qsd,coverage,CF3_10eV_19_59_F_C,107,0.06360655821419652,0.09083790285551036,0.18879994609411993,0.3038628095429957,0.3332639350247977,0.333732885833719,0.3889536648003582,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:243,qsd,coverage,CF3_10eV_19_59_F_C,107,0.13461984810955988,0.38782276219504785,0.3645203368181512,2.2521896033213142,4.092383411012051,0.48172826640411687,5.249625830592232,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:244,qsd,coverage,CF3_10eV_19_59_F_C,107,2.333260073443761,17.573127438419405,0.9170727412878164,91.64478064777573,193.62479369579074,1.5510022519257414,223.7896656758538,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:245,qsd,coverage,CF3_10eV_19_59_F_C,107,20.60510314616121,188.54643228003806,0.7195481497132508,947.695896310189,2080.5704781665686,2.101555218353936,2399.228124024735,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:260,qsd,coverage,CF3_10eV_19_59_Si_C,107,0.11228461280270972,0.2575669449497041,0.332073550728932,1.2629569877558724,2.289696909781993,0.5023509697561556,3.002019235402161,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:261,qsd,coverage,CF3_10eV_19_59_Si_C,107,0.3539435815209215,1.6972039717329117,0.48213251485744935,11.711951758510711,15.643385931211682,0.6793458339763516,21.668352765442112,1.351081189344298
deepmd,dft/qsd/qsd_data.extxyz:262,qsd,coverage,CF3_10eV_19_59_Si_C,107,2.691302563785433,18.66451239509573,0.6662960496392918,99.58640506686048,192.4085373099046,1.268122930930568,241.18198950210007,1.3090023784928708
deepmd,dft/qsd/qsd_data.extxyz:263,qsd,coverage,CF3_10eV_19_59_Si_C,107,1.2948075105603996,7.518123603791554,0.527919188403531,41.332502745739426,77.00560694579968,0.7761498767404638,87.79944959847944,0.9349967502082542
deepmd,dft/qsd/qsd_data.extxyz:264,qsd,coverage,CF3_10eV_19_59_Si_C,107,6.615155272152882,44.66007043547481,2.725868629066534,223.4521220623597,497.72778306000765,4.431208028503981,569.5244818595875,0.5609997821746454
deepmd,dft/qsd/qsd_data.extxyz:281,qsd,coverage,CF3_10eV_19_68_O_C,104,0.6557643310161414,4.145281232465489,0.5324540669084524,28.39984619796428,39.34909798447838,1.9912120214579538,51.57935867431776,0.9999017656250059
deepmd,dft/qsd/qsd_data.extxyz:282,qsd,coverage,CF3_10eV_19_68_O_C,104,1.9468270191971238,12.91226436162203,1.3113498952104472,86.44814692163798,116.33897330153036,3.189737182519973,160.86183082051988,0.8793652029162854
deepmd,dft/qsd/qsd_data.extxyz:283,qsd,coverage,CF3_10eV_19_68_O_C,104,1.0756193653360515,6.627841525719489,1.45092471634812,45.21616264082138,61.337799725951484,2.157556015179383,82.75168938072822,0.9537845550227787
deepmd,dft/qsd/qsd_data.extxyz:284,qsd,coverage,CF3_10eV_19_68_O_C,104,2.161875133267085,15.397340936740358,2.2750947608966734,82.16084115831354,173.76279245802164,5.746230846789849,211.28813683203168,0.7100017002796539
deepmd,dft/qsd/qsd_data.extxyz:285,qsd,coverage,CF3_10eV_19_68_O_C,104,16.719359239995818,142.63333234205857,8.186760053899889,812.7089843076378,1539.2204374744274,15.550071360020516,1791.3063117970382,0.4260027522211551
deepmd,dft/qsd/qsd_data.extxyz:286,qsd,coverage,CF3_10eV_19_68_O_C,104,19.28999573898954,134.5731166310533,9.244484279900782,858.8503107063183,1402.183821318351,10.765990234857147,1696.517805520608,0.28399894806143233
deepmd,dft/qsd/qsd_data.extxyz:287,qsd,coverage,CF3_10eV_19_68_O_C,104,61.24258617390957,391.58473514563923,56.8796202150352,1849.6276783746666,4503.243108303346,90.73948720031579,5080.496511440976,0.14200380417439368
deepmd,dft/qsd/qsd_data.extxyz:300,qsd,coverage,CF3_10eV_19_68_Si_F,104,0.08615857187339153,0.14107227591122812,0.2878868859170734,0.5993281572096075,0.7605046913484335,0.5840187596386235,0.8852515802220794,1.5810876823882984
deepmd,dft/qsd/qsd_data.extxyz:301,qsd,coverage,CF3_10eV_19_68_Si_F,104,0.18650806804210504,0.6692157488455922,0.4943968947227917,4.062329823460389,5.819201876484392,0.8811572152115853,7.877983565845974,1.1760035724860711
deepmd,dft/qsd/qsd_data.extxyz:302,qsd,coverage,CF3_10eV_19_68_Si_F,104,1.9171558184328945,15.178934624676483,0.9117717365615845,83.465352414899,167.10666266211823,1.4796764781929732,192.5615900828748,0.8399988402372951
deepmd,dft/qsd/qsd_data.extxyz:303,qsd,coverage,CF3_10eV_19_68_Si_F,104,14.183729652295868,125.8527749177598,1.0488619017493948,704.6338605982752,1366.182013619418,2.1962232617568196,1578.6253416141135,0.5040027682463689
deepmd,dft/qsd/qsd_data.extxyz:304,qsd,coverage,CF3_10eV_19_68_Si_F,104,14.82719655307818,118.60644742760917,17.123979534577735,472.0743783692283,1418.52155819588,31.68611361493306,1543.7345049098053,0.3359960720008509
deepmd,dft/qsd/qsd_data.extxyz:305,qsd,coverage,CF3_10eV_19_68_Si_F,104,528.6419127102654,4284.65801803272,970.3812366981446,8787.45793992542,51970.178142146324,2093.7328553258194,53664.3673991638,0.16799803600042348
deepmd,dft/qsd/qsd_data.extxyz:310,qsd,coverage,CF3_10eV_19_84_F_F,103,0.06589948438510011,0.10544133406672838,0.1809748430167143,0.36007101751334425,0.9156010030717852,0.28186059630983695,1.031206817997108,1.5883613265563985
deepmd,dft/qsd/qsd_data.extxyz:311,qsd,coverage,CF3_10eV_19_84_F_F,103,0.10195670651266708,0.31538676592599785,0.22765943467696728,1.6832936063350923,3.3056874013655175,0.36073645430786905,3.8103066027857877,1.5883613265563985
deepmd,dft/qsd/qsd_data.extxyz:312,qsd,coverage,CF3_10eV_19_84_F_F,103,1.4023783236065437,10.915148415820058,0.5198878604848887,61.19053130654924,120.47130661950231,0.7046112660101826,139.81608733353596,1.5883613265563985
deepmd,dft/qsd/qsd_data.extxyz:313,qsd,coverage,CF3_10eV_19_84_F_F,103,8.45797802991506,74.59137340628945,0.671144665970882,427.2982845827176,804.2506212273469,0.9629902218121204,930.2630341125646,1.5883613265563985
deepmd,dft/qsd/qsd_data.extxyz:314,qsd,coverage,CF3_10eV_19_84_F_F,103,48.25706625812474,433.13250734748016,2.0473379056294463,2458.8039785589763,4685.7207350419985,3.609702576081156,5394.273595928967,1.5883613265563985
deepmd,dft/qsd/qsd_data.extxyz:333,qsd,coverage,CF3_20eV_4_36_C_C,109,0.11722336314064631,0.21546491747116947,0.3355744073176323,1.123468070047139,1.6085487213046576,0.7275924669790305,1.9572396755002754,1.2137258592037987
deepmd,dft/qsd/qsd_data.extxyz:334,qsd,coverage,CF3_20eV_4_36_C_C,109,0.7581878220738254,5.801348341404984,0.44878545590861507,28.378070438200034,66.33377132454123,0.8316023983261908,75.801884672803,1.2137258592037987
deepmd,dft/qsd/qsd_data.extxyz:335,qsd,coverage,CF3_20eV_4_36_C_C,109,10.762077400846605,94.58110703863655,2.2253211643134914,450.79185645212624,1058.2643778440374,4.958085785930271,1220.7330736957726,1.177375005934813
deepmd,dft/qsd/qsd_data.extxyz:336,qsd,coverage,CF3_20eV_4_36_C_C,109,10.335889591527254,60.79832160428911,25.68208830172567,260.18294861243146,780.8831760669709,40.10890472464767,851.8415590985215,1.1620822119798588
deepmd,dft/qsd/qsd_data.extxyz:337,qsd,coverage,CF3_20eV_4_36_C_C,109,79.40483732515972,638.6370123625584,44.319447905838146,2369.505593571903,7570.449516452465,110.35581423276474,8163.762540301649,1.1665717316564812
