backend,member,group,frames,atoms,component_mae,component_rmse,component_p95,component_p99,component_max,vector_p95,vector_max
nequip,dft/qsd/qsd_data.extxyz,CF3_20eV_4_78,11,1045,8.846575113821372,208.7789575327922,1.2207797009753723,11.125941679808935,7143.043467583999,2.525197390297465,8240.445157296217
nequip,dft/qsd/qsd_data.extxyz,CF3_20eV_4_98,22,1804,24.036408265129175,570.2979181882437,1.613085147482582,57.840311485925255,22628.738630560274,4.250679276260831,26113.1540098329
nequip,dft/qsd/qsd_data.extxyz,CF3_30eV_9_36,37,3256,13.918101548552064,401.90359068134615,1.6207651138504462,23.39584319471817,22472.96713089641,3.6161665144658013,25948.781368586675
nequip,dft/qsd/qsd_data.extxyz,CF3_30eV_9_9,13,1365,12.855295574215782,305.55777966231904,1.2107479705533168,68.63167492145881,11907.712238528797,2.8313671038397956,13729.612494572399
nequip,dft/qsd/qsd_data.extxyz,CF_10eV_4_37,10,1080,1.2389761866742004,14.262216585345566,1.1338053275633024,9.341587546904092,424.3942935350915,2.0865524680285454,489.2464315901034
nequip,dft/qsd/qsd_data.extxyz,CF_10eV_4_39,4,436,0.818485774836103,9.023584930010788,0.773859580000323,6.37995916959272,202.98752388358798,1.7017863445782722,233.39581160911564
nequip,dft/qsd/qsd_data.extxyz,CF_10eV_4_5,4,416,1.9043712949885947,25.040360550241935,0.8947932459840704,10.167137888458964,533.7511539545735,1.5078680298581781,630.619351046685
nequip,dft/qsd/qsd_data.extxyz,CF_10eV_4_54,7,735,0.47688517878464187,2.567918908089444,1.049994164836594,6.569194240541541,72.58140978596975,1.9551490538527,80.06741676555347
nequip,dft/qsd/qsd_data.extxyz,CF_10eV_4_93,4,412,35.00770517683233,348.8403265205336,2.755912987723459,879.4001405790821,6702.128838852475,8.220951783174145,6728.144359569415
nequip,dft/qsd/qsd_data.extxyz,CF_10eV_4_98,5,500,2.267548452037771,35.8456474636367,0.7540841543405705,4.738737436184355,858.0417079693161,1.256317586596613,977.4653378763059
nequip,dft/qsd/qsd_data.extxyz,CF_20eV_2_32,5,515,1.5660964171400031,22.366072882809352,1.1298024078492792,6.2843641067998455,533.9130790806648,1.9729967770099142,622.7005926353686
nequip,dft/qsd/qsd_data.extxyz,CF_20eV_2_52,10,930,1.8752224224115066,26.74533488464305,1.2154881066293262,13.626403309453002,826.9516138630806,1.6131730177035692,952.6927102111223
nequip,dft/qsd/qsd_data.extxyz,CF_20eV_2_54,9,846,1.3189661083846163,9.39853364158195,1.5680903259417964,23.089389482951955,194.77114376062286,3.2157184439635875,217.11930162317321
nequip,dft/qsd/qsd_data.extxyz,CF_20eV_2_76,5,480,1.805511307800517,18.81355191249847,1.2172195963092673,10.634305056912307,378.7059923562447,2.492477507334719,449.4915436172857
nequip,dft/qsd/qsd_data.extxyz,CF_20eV_2_79,9,846,8.10930683085774,179.3234072677441,1.3854001147243447,7.878725369783597,5507.700942236304,2.3205692903642854,6352.697208755152
nequip,dft/qsd/qsd_data.extxyz,CF_30eV_18_12,6,534,3.026894910549283,37.845739983656344,1.4508472029353012,14.094529693099783,872.8779101961,2.0675000156501375,1002.9426828554678
nequip,dft/qsd/qsd_data.extxyz,CF_30eV_18_13,7,623,0.7430121062237485,8.559118909586136,1.0415799328870057,3.682609610454797,225.8878874394352,1.727729241957256,262.18292377179534
nequip,dft/qsd/qsd_data.extxyz,CF_30eV_18_3,27,2754,6.41745863889015,162.59139635784112,0.9550306595793092,9.175225111559458,7122.734103573459,1.6473125609038881,8218.381703208219
deepmd,dft/FC/CF0.2_d2.3.extxyz,dft/FC/CF0.2_d2.3.extxyz:anneal,8,1152,0.1842664176999333,0.24488594970697403,0.5047378093845638,0.714265670140514,1.03403354845139,0.7677900581102696,1.139617255720815
deepmd,dft/FC/CF0.2_d2.3.extxyz,dft/FC/CF0.2_d2.3.extxyz:melt,8,1152,0.29393238540353406,0.3826460488657638,0.7716220650076295,1.0989252598786097,1.4679066806917707,1.1807579893923987,1.7323926595147705
deepmd,dft/FC/CF0.2_d2.3.extxyz,dft/FC/CF0.2_d2.3.extxyz:quench,8,1152,0.225616927401988,0.30023315533625244,0.6207309781835142,0.8991767687473856,1.4410787508136695,0.9394814841455618,1.7883386948390574
deepmd,dft/FC/CF0.2_d3.2.extxyz,dft/FC/CF0.2_d3.2.extxyz:anneal,8,1152,0.17709637597259434,0.23307406248994025,0.46206376419123185,0.6813794597570026,1.1818908303449527,0.7099142954156646,1.2141429573640978
deepmd,dft/FC/CF0.2_d3.2.extxyz,dft/FC/CF0.2_d3.2.extxyz:melt,8,1152,0.3177564444814575,0.414069779452991,0.8391726425288243,1.144830939375671,2.3124520721503075,1.2388068655142528,2.358681443646514
deepmd,dft/FC/CF0.2_d3.2.extxyz,dft/FC/CF0.2_d3.2.extxyz:quench,8,1152,0.21606855728399751,0.2881946104217462,0.6002909097962807,0.8662052031510569,1.4472158328292581,0.8956332348485638,1.7419929391424314
deepmd,dft/FC/CF0.4_d2.3.extxyz,dft/FC/CF0.4_d2.3.extxyz:anneal,8,1152,0.1720403142700069,0.23895592961714157,0.5148401246928552,0.762114903523582,1.057814310796903,0.8097937637486115,1.1316821536258312
deepmd,dft/FC/CF0.4_d2.3.extxyz,dft/FC/CF0.4_d2.3.extxyz:melt,8,1152,0.29068672230534215,0.38871042254593485,0.8309314256987,1.1180524315096625,1.8202906672293842,1.241807122936041,1.9272712378439725
deepmd,dft/FC/CF0.4_d2.3.extxyz,dft/FC/CF0.4_d2.3.extxyz:quench,8,1152,0.24261950325494203,0.32870949340069333,0.6884748155739133,0.990741916256128,1.59071097488887,1.0532373542743088,1.8517964006363226
