backend,id,kind,case,status,rotation_energy_error_eV,rotation_force_max_eV_A,translation_energy_error_eV,translation_force_max_eV_A,permutation_energy_error_eV,permutation_force_max_eV_A,reference_force_scale_eV_A,pair,distance_A,reference,energy_eV,radial_force_eV_A,net_force_eV_A,fd_steps_A,fd_force_errors_eV_A
nequip,pair:C-Si:4,pair,,ok,,,,,,,,C-Si,4.0,"none; qualitative diagnostic, not chemical accuracy",-3.2255636648606822,-0.8414914225536493,0.0,,
nequip,pair:C-Si:6,pair,,ok,,,,,,,,C-Si,6.0,"none; qualitative diagnostic, not chemical accuracy",-2.2554,-0.0,0.0,,
nequip,pair:F-F:0.5,pair,,ok,,,,,,,,F-F,0.5,"none; qualitative diagnostic, not chemical accuracy",232.22104547369506,1437.6708923853198,0.0,,
nequip,pair:F-F:0.65,pair,,ok,,,,,,,,F-F,0.65,"none; qualitative diagnostic, not chemical accuracy",89.40288029707614,592.460150613342,0.0,,
nequip,pair:F-F:0.8,pair,,ok,,,,,,,,F-F,0.8,"none; qualitative diagnostic, not chemical accuracy",31.027898075891148,228.63328064789766,0.0,"[0.001, 0.0005]","[0.0009887682339524417, 0.00016960244718688955]"
nequip,pair:F-F:1,pair,,ok,,,,,,,,F-F,1.0,"none; qualitative diagnostic, not chemical accuracy",5.267931840561381,65.9492361281934,0.0,,
nequip,pair:F-F:1.2,pair,,ok,,,,,,,,F-F,1.2,"none; qualitative diagnostic, not chemical accuracy",-2.191314799571199,17.18361463437664,0.0,,
nequip,pair:F-F:1.5,pair,,ok,,,,,,,,F-F,1.5,"none; qualitative diagnostic, not chemical accuracy",-3.756835859524881,-0.5497176073443573,0.0,"[0.001, 0.0005]","[0.000571855460995252, 0.0008124094270538507]"
nequip,pair:F-F:2,pair,,ok,,,,,,,,F-F,2.0,"none; qualitative diagnostic, not chemical accuracy",-4.059398153473871,0.7199564229339872,0.0,,
nequip,pair:F-F:2.5,pair,,ok,,,,,,,,F-F,2.5,"none; qualitative diagnostic, not chemical accuracy",-3.763284220910727,-0.9785513874006977,0.0,,
nequip,pair:F-F:3,pair,,ok,,,,,,,,F-F,3.0,"none; qualitative diagnostic, not chemical accuracy",-3.501936185901547,-0.14744178336506847,0.0,"[0.001, 0.0005]","[0.0010023550876506193, 0.0013771675128645966]"
nequip,pair:F-F:4,pair,,ok,,,,,,,,F-F,4.0,"none; qualitative diagnostic, not chemical accuracy",-4.085792224968202,0.7715504968021746,0.0,,
nequip,pair:F-F:6,pair,,ok,,,,,,,,F-F,6.0,"none; qualitative diagnostic, not chemical accuracy",-1.5348,-0.0,0.0,,
nequip,pair:F-O:0.5,pair,,ok,,,,,,,,F-O,0.5,"none; qualitative diagnostic, not chemical accuracy",209.7591494622662,1293.0398124932992,0.0,,
nequip,pair:F-O:0.65,pair,,ok,,,,,,,,F-O,0.65,"none; qualitative diagnostic, not chemical accuracy",78.48629479805022,566.2159690942435,0.0,,
nequip,pair:F-O:0.8,pair,,ok,,,,,,,,F-O,0.8,"none; qualitative diagnostic, not chemical accuracy",24.557252981334884,212.60955754808856,0.0,"[0.001, 0.0005]","[0.00012251002738139505, 0.010478745629797004]"
nequip,pair:F-O:1,pair,,ok,,,,,,,,F-O,1.0,"none; qualitative diagnostic, not chemical accuracy",0.6721656641862754,57.778313783737694,0.0,,
nequip,pair:F-O:1.2,pair,,ok,,,,,,,,F-O,1.2,"none; qualitative diagnostic, not chemical accuracy",-5.171438511828796,11.104552667745768,0.0,,
nequip,pair:F-O:1.5,pair,,ok,,,,,,,,F-O,1.5,"none; qualitative diagnostic, not chemical accuracy",-5.629518464684966,-3.4646428140195287,0.0,"[0.001, 0.0005]","[0.0010593565509733338, 0.0006417031426710906]"
nequip,pair:F-O:2,pair,,ok,,,,,,,,F-O,2.0,"none; qualitative diagnostic, not chemical accuracy",-4.018835953028734,-0.4329756400608833,0.0,,
nequip,pair:F-O:2.5,pair,,ok,,,,,,,,F-O,2.5,"none; qualitative diagnostic, not chemical accuracy",-4.061044114655762,-0.2367874216829206,0.0,,
nequip,pair:F-O:3,pair,,ok,,,,,,,,F-O,3.0,"none; qualitative diagnostic, not chemical accuracy",-3.937684791552755,-0.2102288098484285,0.0,"[0.001, 0.0005]","[0.0006588700023512084, 0.0007194541611189598]"
nequip,pair:F-O:4,pair,,ok,,,,,,,,F-O,4.0,"none; qualitative diagnostic, not chemical accuracy",-4.059301536924959,0.4520991084024425,0.0,,
nequip,pair:F-O:6,pair,,ok,,,,,,,,F-O,6.0,"none; qualitative diagnostic, not chemical accuracy",-2.6741,-0.0,0.0,,
nequip,pair:F-Si:0.5,pair,,ok,,,,,,,,F-Si,0.5,"none; qualitative diagnostic, not chemical accuracy",267.2309101752186,1530.8578137200182,0.0,,
nequip,pair:F-Si:0.65,pair,,ok,,,,,,,,F-Si,0.65,"none; qualitative diagnostic, not chemical accuracy",119.87714737112381,621.1508965722561,0.0,,
nequip,pair:F-Si:0.8,pair,,ok,,,,,,,,F-Si,0.8,"none; qualitative diagnostic, not chemical accuracy",51.03648735348671,316.92968857798485,0.0,"[0.001, 0.0005]","[0.0029315514291852196, 0.02819758469649969]"
nequip,pair:F-Si:1,pair,,ok,,,,,,,,F-Si,1.0,"none; qualitative diagnostic, not chemical accuracy",12.614026250956616,115.21174228007845,0.0,,
nequip,pair:F-Si:1.2,pair,,ok,,,,,,,,F-Si,1.2,"none; qualitative diagnostic, not chemical accuracy",-2.010408195923426,41.23361045238617,0.0,,
nequip,pair:F-Si:1.5,pair,,ok,,,,,,,,F-Si,1.5,"none; qualitative diagnostic, not chemical accuracy",-7.568698164592787,4.510920912580658,0.0,"[0.001, 0.0005]","[0.0001679952767945636, 0.0014899056646262565]"
nequip,pair:F-Si:2,pair,,ok,,,,,,,,F-Si,2.0,"none; qualitative diagnostic, not chemical accuracy",-7.07498861695965,-2.766539431512805,0.0,,
nequip,pair:F-Si:2.5,pair,,ok,,,,,,,,F-Si,2.5,"none; qualitative diagnostic, not chemical accuracy",-5.727849573155187,-2.6114793604308018,0.0,,
nequip,pair:F-Si:3,pair,,ok,,,,,,,,F-Si,3.0,"none; qualitative diagnostic, not chemical accuracy",-4.61159362812759,-1.7331423080449864,0.0,"[0.001, 0.0005]","[0.00012573251430181287, 0.0006170007818977474]"
nequip,pair:F-Si:4,pair,,ok,,,,,,,,F-Si,4.0,"none; qualitative diagnostic, not chemical accuracy",-3.709932518723682,-0.3493317440779103,0.0,,
nequip,pair:F-Si:6,pair,,ok,,,,,,,,F-Si,6.0,"none; qualitative diagnostic, not chemical accuracy",-1.6362999999999999,-0.0,0.0,,
nequip,pair:O-O:0.5,pair,,ok,,,,,,,,O-O,0.5,"none; qualitative diagnostic, not chemical accuracy",178.16773670205765,1204.7697123388205,0.0,,
nequip,pair:O-O:0.65,pair,,ok,,,,,,,,O-O,0.65,"none; qualitative diagnostic, not chemical accuracy",59.72449490403242,499.22697124912725,0.0,,
nequip,pair:O-O:0.8,pair,,ok,,,,,,,,O-O,0.8,"none; qualitative diagnostic, not chemical accuracy",12.529563912294883,175.91435527664166,0.0,"[0.001, 0.0005]","[0.003593957630073419, 0.0016801527663403704]"
nequip,pair:O-O:1,pair,,ok,,,,,,,,O-O,1.0,"none; qualitative diagnostic, not chemical accuracy",-6.087023412955492,38.712768924859866,0.0,,
nequip,pair:O-O:1.2,pair,,ok,,,,,,,,O-O,1.2,"none; qualitative diagnostic, not chemical accuracy",-9.287978008200122,2.0132291145484302,0.0,,
nequip,pair:O-O:1.5,pair,,ok,,,,,,,,O-O,1.5,"none; qualitative diagnostic, not chemical accuracy",-8.040458814316903,-7.539990386836475,0.0,"[0.001, 0.0005]","[0.00030532383424386467, 0.0004700173614473613]"
nequip,pair:O-O:2,pair,,ok,,,,,,,,O-O,2.0,"none; qualitative diagnostic, not chemical accuracy",-4.459346470993527,-3.5483840554873916,0.0,,
nequip,pair:O-O:2.5,pair,,ok,,,,,,,,O-O,2.5,"none; qualitative diagnostic, not chemical accuracy",-4.115995327849219,0.44855248165580863,0.0,,
nequip,pair:O-O:3,pair,,ok,,,,,,,,O-O,3.0,"none; qualitative diagnostic, not chemical accuracy",-4.2676075624083625,0.03210226660891641,0.0,"[0.001, 0.0005]","[0.0008320991863684513, 0.000630129943409885]"
