backend,id,track,selection,group,atom_index,element,vector_error_eV_A,component_max_eV_A,nearest_distance_A,cf_sio_contact_A,ref_force_norm_eV_A
mace,dft/qsd/qsd_data.extxyz:235,qsd,coverage,CF3_10eV_19_59_C_C,1,C,1598.2626258657524,1396.4952690298423,0.15200358416826942,1.351081189344298,9764.83657990417
mace,dft/qsd/qsd_data.extxyz:337,qsd,coverage,CF3_20eV_4_36_C_C,3,C,1582.9458305335636,1376.5733083940686,0.15200358416826834,1.1665717316564812,9773.390131773007
mace,dft/qsd/qsd_data.extxyz:245,qsd,coverage,CF3_10eV_19_59_F_C,1,C,1579.3219780420488,1352.6180037560998,0.3989964180290336,1.351081189344298,2125.608186483432
mace,dft/qsd/qsd_data.extxyz:514,qsd,coverage,CF3_30eV_9_36_C_C,1,C,1563.7865085327046,1350.4363240114417,0.15200358416826865,1.2530260676059377,9752.70503209175
mace,dft/qsd/qsd_data.extxyz:524,qsd,coverage,CF3_30eV_9_36_F_C,1,C,1562.2969565216956,1374.4619759084812,0.39899641802903446,1.2595609813740645,2132.9974868861245
mace,dft/qsd/qsd_data.extxyz:1072,qsd,coverage,CF_20eV_2_54_F_C,32,F,1560.6412215816358,1388.333406854818,0.39900507828848464,1.228183400718312,2118.0740626248707
mace,dft/qsd/qsd_data.extxyz:245,qsd,coverage,CF3_10eV_19_59_F_C,7,F,1532.819697181858,1319.6250558580593,0.3989964180290336,1.351081189344298,2111.6244908992494
mace,dft/qsd/qsd_data.extxyz:524,qsd,coverage,CF3_30eV_9_36_F_C,8,F,1517.5116721532227,1332.7978082731827,0.39899641802903446,1.2595609813740645,2123.9697096233594
mace,dft/qsd/qsd_data.extxyz:1312,qsd,coverage,CF_30eV_18_3_F_C,2,C,1515.6974377968147,1306.5737436915601,0.3989964180290366,1.1431451005449835,2133.3631863660244
mace,dft/qsd/qsd_data.extxyz:585,qsd,coverage,CF3_30eV_9_9_Si_C,6,F,1507.9418959386558,1341.7923985842751,0.48717419841366866,0.5609997821746454,1844.8413244382891
mace,dft/qsd/qsd_data.extxyz:585,qsd,coverage,CF3_30eV_9_9_Si_C,11,F,1505.1893509878341,1340.8177661220043,0.48717419841366866,0.5609997821746454,1886.4303890567182
mace,dft/qsd/qsd_data.extxyz:1312,qsd,coverage,CF_30eV_18_3_F_C,3,F,1476.9404595525639,1273.9688107208904,0.3989964180290366,1.1431451005449835,2124.2379016403906
mace,dft/qsd/qsd_data.extxyz:513,qsd,coverage,CF3_30eV_9_36_C_C,0,C,1402.138821099295,1227.5432482234164,0.30399850805554945,1.2595609813740645,2238.0887271267416
mace,dft/qsd/qsd_data.extxyz:583,qsd,coverage,CF3_30eV_9_9_Si_C,0,C,1391.6896000571332,1248.949700886707,0.43889183496620243,1.309002378492874,1672.7831739847124
mace,dft/qsd/qsd_data.extxyz:583,qsd,coverage,CF3_30eV_9_9_Si_C,6,F,1377.8668975828655,1235.0862889163232,0.43889183496620243,1.309002378492874,1675.926886297437
mace,dft/qsd/qsd_data.extxyz:1302,qsd,coverage,CF_30eV_18_3_C_C,2,C,1372.1574252826488,1178.8914711983762,0.3039985080555494,1.1431451005449835,2227.5281917776824
mace,dft/qsd/qsd_data.extxyz:1190,qsd,coverage,CF_20eV_2_79_C_C,28,C,1366.7455454013693,1181.526137958274,0.30399850805555184,1.306619940839722,2218.5670873418476
mace,dft/qsd/qsd_data.extxyz:1190,qsd,coverage,CF_20eV_2_79_C_C,8,C,1357.2667469194441,1162.2871451730248,0.30399850805555184,1.306619940839722,2232.2540314791354
mace,dft/qsd/qsd_data.extxyz:234,qsd,coverage,CF3_10eV_19_59_C_C,0,C,1352.280051183336,1172.4110744078253,0.30399850805554984,1.351081189344298,2224.209619175428
