backend,track,category,subset,atoms,component_mae,component_rmse,component_p95,component_p99,component_max,vector_p95,vector_max
deepmd,etch,element,F,1360,0.0913934783208885,0.15154618335579126,0.3207626019645728,0.6099442863093704,1.485130255109726,0.5811963665372109,1.958582705260047
deepmd,etch,element,O,5260,0.10575811228594187,0.15991892857593756,0.33681677928611575,0.560113673472336,1.3785065988376504,0.5254046239875666,1.855932831742987
deepmd,etch,element,Si,2828,0.17484318911981037,0.2676311239872831,0.5352595895086749,0.9568088611692831,2.504879531464474,0.871337479741896,2.916583111327804
deepmd,etch,nearest_distance_A,"[1,1.5)",605,0.1943888681785004,0.31396117364557075,0.6558348387908932,1.186959807402509,2.994958797870636,1.1049935249381653,3.0139854493002574
deepmd,etch,nearest_distance_A,"[1.5,2)",8967,0.12226528977259044,0.19365118744418328,0.4011835281350016,0.715893860938515,2.504879531464474,0.6442155617014885,2.916583111327804
deepmd,etch,nearest_distance_A,"[2,inf)",29,0.12526344354694804,0.17503988482567517,0.2991711724810889,0.6147583767394416,0.620602548138868,0.5737317491931637,0.8376604383482295
deepmd,mqa,chemical_subset,C/F,256,0.18417668941732024,0.23565544015274437,0.4810014849513285,0.6469474003940101,1.005225562221825,0.6563880926530592,1.040107117988051
deepmd,mqa,chemical_subset,Si/O,1560,0.09217138704565613,0.1339573917804732,0.28477527125034136,0.4457186401019477,0.8106862063053468,0.45027721195204473,0.9100495616098608
deepmd,mqa,element,C,256,0.18417668941732024,0.23565544015274437,0.4810014849513285,0.6469474003940101,1.005225562221825,0.6563880926530592,1.040107117988051
deepmd,mqa,element,O,528,0.04935418550229081,0.07607955445655025,0.14645282547273064,0.27828008021909334,0.6121218246824416,0.24873686855792282,0.7881632768646961
deepmd,mqa,element,Si,1032,0.11407786225388956,0.1554483174026098,0.3205056048442588,0.4813832264141058,0.8106862063053468,0.5002681340336296,0.9100495616098608
deepmd,mqa,nearest_distance_A,"[1,1.5)",127,0.1834379233529132,0.2483876566103527,0.5118672537369728,0.6860043305017566,1.005225562221825,0.7404220843387181,1.040107117988051
deepmd,mqa,nearest_distance_A,"[1.5,2)",1162,0.09599978248779788,0.1453120224582672,0.3276055692613392,0.4975035258594273,0.8106862063053468,0.519856380512976,0.9894458243704107
deepmd,mqa,nearest_distance_A,"[2,inf)",527,0.1064292841848509,0.13663318749484354,0.2761904123118799,0.3804282611455409,0.6240115547726881,0.3753563786762031,0.7561103080906973
deepmd,qsd,archived_drag_distance_A,"[0,0.5)",7686,68.48655050012889,917.3532055599351,22.8387911786247,1670.8515158472408,51970.178142146324,52.251266021654615,53664.3673991638
deepmd,qsd,archived_drag_distance_A,"[0.5,1)",8497,4.022385731851446,47.59515944069142,0.9547387458059704,82.8184179370638,1696.0610040985823,1.939324029829149,1901.7595043183435
deepmd,qsd,archived_drag_distance_A,"[1,1.5)",3386,2.2175721404803146,41.40527724694387,0.7331298809110154,12.885352283763535,1896.5532773954783,1.4728846354760452,2224.295208210856
deepmd,qsd,archived_drag_distance_A,"[1.5,2)",3582,1.943208409780118,36.73017917151794,0.5186704646254806,3.741045416321655,1313.9456567577586,0.8747223209843087,1699.4284605925336
deepmd,qsd,archived_drag_distance_A,"[2,inf)",1146,0.14228237647232989,0.43503189524035873,0.4192914529923199,0.9221217025558476,9.401118511616858,0.6879534078822823,13.332548127417322
deepmd,qsd,chemical_subset,C/F,4616,89.36403776406367,982.2582081570498,80.28274288686268,2075.2682643403036,51745.41711241552,264.2968026837883,53104.009394105335
deepmd,qsd,chemical_subset,Si/O,19681,8.266539697350263,322.2896617005259,1.9298826516879135,23.63038391395765,51970.178142146324,4.670894034601097,53664.3673991638
deepmd,qsd,element,C,1411,127.73203610550348,1202.7838708191096,220.94290617322332,2565.134752409393,31996.525265236574,761.0622501303621,41756.600475498424
deepmd,qsd,element,F,3205,72.47254145836271,867.5790776062817,42.314432530511304,1893.387520295533,51745.41711241552,155.57535153334808,53104.009394105335
deepmd,qsd,element,O,12802,5.667198095795747,163.72738052028237,1.4311779483936196,17.727086913307886,15213.283416366501,3.2357123686600273,17334.528122723168
deepmd,qsd,element,Si,6879,13.103982811625722,497.28131233880276,3.2978761990914855,40.840426314549966,51970.178142146324,8.00147907993667,53664.3673991638
deepmd,qsd,nearest_distance_A,"[0,0.5)",176,2789.312808365203,6044.979008943469,11255.353417009585,28289.055825815172,51970.178142146324,17660.86672163147,53664.3673991638
deepmd,qsd,nearest_distance_A,"[0.5,1)",288,142.53917605802104,267.9173820485258,563.4034611504696,1256.042511825609,1366.182013619418,1039.8873633164635,1578.6253416141135
deepmd,qsd,nearest_distance_A,"[1,1.5)",2053,6.843323968411793,66.02413766422369,15.761724647067025,112.52365019530785,2520.403821342041,33.85319408929453,2579.8827975985914
deepmd,qsd,nearest_distance_A,"[1.5,2)",21780,1.3396916904652536,41.19699324876568,1.76257197510668,15.164781909229877,8897.373772884537,4.2372347349218975,9084.108881364165
